3,12.96,3.45,2.35,18.5,106,1.39,.7,.4,.94,5.28,.68,1.75
3,13.78,2.76,2.3,22,90,1.35,.68,.41,1.03,9.58,.7,1.68
3,13.73,4.36,2.26,22.5,88,1.28,.47,.52,1.15,6.62,.78,1.75
3,13.45,3.7,2.6,23,111,1.7,.92,.43,1.46,10.68,.85,1.56
3,12.82,3.37,2.3,19.5,88,1.48,.66,.4,.97,10.26,.72,1.75
3,13.58,2.58,2.69,24.5,105,1.55,.84,.39,1.54,8.66,.74,1.8
3,13.4,4.6,2.86,25,112,1.98,.96,.27,1.11,8.5,.67,1.92
3,12.2,3.03,2.32,19,96,1.25,.49,.4,.73,5.5,.66,1.83
3,12.77,2.39,2.28,19.5,86,1.39,.51,.48,.64,9.899999,.57,1.63
3,14.16,2.51,2.48,20,91,1.68,.7,.44,1.24,9.7,.62,1.71
3,13.71,5.65,2.45,20.5,95,1.68,.61,.52,1.06,7.7,.64,1.74
3,13.4,3.91,2.48,23,102,1.8,.75,.43,1.41,7.3,.7,1.56
3,13.27,4.28,2.26,20,120,1.59,.69,.43,1.35,10.2,.59,1.56
3,13.17,2.59,2.37,20,120,1.65,.68,.53,1.46,9.3,.6,1.62
3,14.13,4.1,2.74,24.5,96,2.05,.76,.56,1.35,9.2,.61,1.6
1,14.23,1.71,2.43,15.6,127,2.8,3.06,.28,2.29,5.64,1.04,3.92
1,13.2,1.78,2.14,11.2,100,2.65,2.76,.26,1.28,4.38,1.05,3.4
1,13.16,2.36,2.67,18.6,101,2.8,3.24,.3,2.81,5.68,1.03,3.17
1,14.37,1.95,2.5,16.8,113,3.85,3.49,.24,2.18,7.8,.86,3.45
1,13.24,2.59,2.87,21,118,2.8,2.69,.39,1.82,4.32,1.04,2.93
1,14.2,1.76,2.45,15.2,112,3.27,3.39,.34,1.97,6.75,1.05,2.85
1,14.39,1.87,2.45,14.6,96,2.5,2.52,.3,1.98,5.25,1.02,3.58
1,14.06,2.15,2.61,17.6,121,2.6,2.51,.31,1.25,5.05,1.06,3.58
1,14.83,1.64,2.17,14,97,2.8,2.98,.29,1.98,5.2,1.08,2.85
1,13.86,1.35,2.27,16,98,2.98,3.15,.22,1.85,7.22,1.01,3.55
1,14.1,2.16,2.3,18,105,2.95,3.32,.22,2.38,5.75,1.25,3.17
1,14.12,1.48,2.32,16.8,95,2.2,2.43,.26,1.57,5,1.17,2.82
